"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 16 12:11:40 IST 2021","Mon Aug 16 12:15:22 IST 2021","221965","tests","test_TS03_verify_alloy_outcomes","TestAlloyOutcomes","","","test_TC05_Qualifile_Decline",""
"passed","Mon Aug 16 11:46:52 IST 2021","Mon Aug 16 11:49:50 IST 2021","178380","tests","test_TS01_submit_new_application","TestETEFlow","","","test_TC02_submit_savings",""
"passed","Mon Aug 16 12:15:22 IST 2021","Mon Aug 16 12:18:56 IST 2021","213266","tests","test_TS03_verify_alloy_outcomes","TestAlloyOutcomes","","","test_TC06_Qualifile_Review",""
"passed","Mon Aug 16 12:08:04 IST 2021","Mon Aug 16 12:09:36 IST 2021","91528","tests","test_TS03_verify_alloy_outcomes","TestAlloyOutcomes","","","test_TC03_Qualifile_Decline",""
"passed","Mon Aug 16 12:01:47 IST 2021","Mon Aug 16 12:03:29 IST 2021","102736","tests","test_TS02_submit_authenticated_application","TestDIFlow","","","test_TC02_submit_savings",""
"broken","Mon Aug 16 11:52:28 IST 2021","Mon Aug 16 11:53:26 IST 2021","57445","tests","test_TS01_submit_new_application","TestETEFlow","","","test_TC05_submit_18month_CD",""
"passed","Mon Aug 16 11:49:50 IST 2021","Mon Aug 16 11:51:51 IST 2021","120434","tests","test_TS01_submit_new_application","TestETEFlow","","","test_TC03_submit_91day_CD",""
"passed","Mon Aug 16 11:56:44 IST 2021","Mon Aug 16 11:59:16 IST 2021","151485","tests","test_TS01_submit_new_application","TestETEFlow","","","test_TC08_submit_CrossSell",""
"broken","Mon Aug 16 11:56:02 IST 2021","Mon Aug 16 11:56:44 IST 2021","41859","tests","test_TS01_submit_new_application","TestETEFlow","","","test_TC07_submit_max_product",""
"passed","Mon Aug 16 12:18:56 IST 2021","Mon Aug 16 12:23:04 IST 2021","248666","tests","test_TS03_verify_alloy_outcomes","TestAlloyOutcomes","","","test_TC07_Stepup_Primary_Joint",""
"passed","Mon Aug 16 12:09:36 IST 2021","Mon Aug 16 12:11:40 IST 2021","124471","tests","test_TS03_verify_alloy_outcomes","TestAlloyOutcomes","","","test_TC04_Qualifile_Decline",""
"broken","Mon Aug 16 11:51:51 IST 2021","Mon Aug 16 11:52:28 IST 2021","37136","tests","test_TS01_submit_new_application","TestETEFlow","","","test_TC04_submit_9month_CD",""
"broken","Mon Aug 16 12:05:34 IST 2021","Mon Aug 16 12:06:34 IST 2021","60391","tests","test_TS03_verify_alloy_outcomes","TestAlloyOutcomes","","","test_TC01_Auto_Decline",""
"passed","Mon Aug 16 12:33:59 IST 2021","Mon Aug 16 12:35:05 IST 2021","66575","tests","test_TS05_verify_save_cancel","TestSaveCancel","","","test_TC01_save",""
"passed","Mon Aug 16 11:53:26 IST 2021","Mon Aug 16 11:56:02 IST 2021","156404","tests","test_TS01_submit_new_application","TestETEFlow","","","test_TC06_submit_valley_direct_savings",""
"passed","Mon Aug 16 12:26:27 IST 2021","Mon Aug 16 12:28:11 IST 2021","103880","tests","test_TS03_verify_alloy_outcomes","TestAlloyOutcomes","","","test_TC09_Stepup_Denied_Primary",""
"passed","Mon Aug 16 12:28:11 IST 2021","Mon Aug 16 12:31:54 IST 2021","223202","tests","test_TS03_verify_alloy_outcomes","TestAlloyOutcomes","","","test_TC10_Manual_Review",""
"passed","Mon Aug 16 12:06:34 IST 2021","Mon Aug 16 12:08:04 IST 2021","90331","tests","test_TS03_verify_alloy_outcomes","TestAlloyOutcomes","","","test_TC02_Auto_Decline",""
"broken","Mon Aug 16 12:33:12 IST 2021","Mon Aug 16 12:33:59 IST 2021","46792","tests","test_TS04_verify_save_resume","TestSaveResume","","","test_TC02_resume",""
"passed","Mon Aug 16 12:23:04 IST 2021","Mon Aug 16 12:26:27 IST 2021","202657","tests","test_TS03_verify_alloy_outcomes","TestAlloyOutcomes","","","test_TC08_Stepup_Primary",""
"broken","Mon Aug 16 11:59:16 IST 2021","Mon Aug 16 12:01:46 IST 2021","150189","tests","test_TS02_submit_authenticated_application","TestDIFlow","","","test_TC01_submit_checking",""
"passed","Mon Aug 16 12:31:54 IST 2021","Mon Aug 16 12:33:12 IST 2021","77542","tests","test_TS04_verify_save_resume","TestSaveResume","","","test_TC01_save",""
"passed","Mon Aug 16 12:03:29 IST 2021","Mon Aug 16 12:05:34 IST 2021","124267","tests","test_TS02_submit_authenticated_application","TestDIFlow","","","test_TC03_submit_savings_with_cross_sell",""
"passed","Mon Aug 16 11:44:09 IST 2021","Mon Aug 16 11:46:52 IST 2021","163186","tests","test_TS01_submit_new_application","TestETEFlow","","","test_TC01_submit_checking",""
"passed","Mon Aug 16 12:35:39 IST 2021","Mon Aug 16 12:36:50 IST 2021","71629","tests","test_TS05_verify_save_cancel","TestSaveCancel","","","test_TC03_cancel_in_sales_flow",""
"passed","Mon Aug 16 12:35:05 IST 2021","Mon Aug 16 12:35:39 IST 2021","33304","tests","test_TS05_verify_save_cancel","TestSaveCancel","","","test_TC02_cancel",""
